a,person_id,fio,orcid,researcherId,scopusId,openAlexId,alt_fios
22328,1100406,H. Li,,,,A5027499404,H. Li
22329,1100407,Y. Wang,,,,A5027695168,Y. Wang
22330,1100408,B. Li,,,,A5027990364,B. Li
22331,1100409,J. B. Liu,,,,A5029126057,J. B. Liu
22332,1100410,H. Wang,,,,A5030919003,H. Wang
22333,1100411,M. Silva,,,,A5032708514,M. Silva
22334,1100412,A. M. Wang,,,,A5032972463,A. M. Wang
22335,1100413,L. L.,,,,A5036597900,L. L.
22336,1100414,R.-J. Wang,,,,A5036872185,R.‐J. Wang
22337,1100415,J. Chen,,,,A5038440295,J. Chen
22338,1100416,Y. Li,,,,A5040697333,Y. Li
22339,1100417,F. Wang,,,,A5041104837,F. Wang
22340,1100418,R. Wang,,,,A5042620538,R. Wang
22341,1100419,R. Zhang,,,,A5043853134,R. Zhang; Ruping Zhang
22342,1100420,L. Li,,,,A5047149597,L. Li
22343,1100421,C. A. Lee,,,,A5047556394,C. A. Lee
22344,1100422,H. Wang,,,,A5050412344,H. Wang
22345,1100423,F. Zhang,,,,A5055479972,F. Zhang
22346,1100424,W. X. Wang,,,,A5056638077,W. X. Wang
22347,1100425,Y. L. Liu,,,,A5058941446,Y. L. Liu
22348,1100426,Q. Y. Li,,,,A5061099058,Q. Y. Li
22349,1100427,C. Wang,,,,A5062783094,C. Wang
22350,1100428,Y. Zhang,,,,A5065330392,Y. Zhang
22351,1100429,H. B. Liu,,,,A5068547158,H. B. Liu
22352,1100430,H. Liu,,,,A5069929174,H. Liu
22353,1100431,S. J. Chen,,,,A5070629245,S. J. Chen
22354,1100432,R. Wang,,,,A5076528903,R. Wang
22355,1100433,D. Zhang,,,,A5076827534,D. Zhang
22356,1100434,C. Chen,,,,A5077250746,C. Chen
22357,1100435,H. Chen,,,,A5079641204,H. Chen
22358,1100436,M. Zhang,,,,A5080486087,M. Zhang
22359,1100437,Q. Li,,,,A5080565062,Q. Li
22360,1100438,B. Liu,,,,A5084025338,B. Liu
22361,1100439,S. M. Wang,,,,A5084700383,S. M. Wang
22362,1100440,J. Silva,,,,A5086013059,J. Silva
22363,1100441,P. Wang,,,,A5086057319,P. Wang
22364,1100442,X. Zhang,,,,A5086867367,X. Zhang
22365,1100443,G. Zhang,,,,A5087932248,G. Zhang
22366,1100444,Q. Wang,,,,A5089751335,Q. Wang
22367,1100455,T. Paul,,,,A5003074129,T. C. Paul; T. Paul; Tasmai Paul; Thomas C. Paul; Thomas Cantzon Paul; Thomas Paul
22368,1100456,J. Wang,,,,A5005439286,J. Wang
22369,1100457,A. Kurenkov,,,,A5022729814,A. A. Kurenkov; A. Kurenkov
22370,1100458,H. Liu,,,,A5026966932,H. Liu
22371,1100459,G. M. Chen,,,,A5029142390,G. M. Chen
22372,1100460,B. Liu,,,,A5030392848,B. Liu
22373,1100461,J. H. Kim,,,,A5035678451,J. H. Kim
22374,1100462,J. Lee,,,,A5038842836,J. Lee
22375,1100463,L. Zhang,,,,A5041384109,L. Zhang
22376,1100464,J. Silva,,,,A5048493952,J. Silva
22377,1100465,H. S. Chen,,,,A5058082830,H. S. Chen
22378,1100466,P. Silva,,,,A5074394592,P. Silva
22379,1100467,A. Pullia,0000-0002-6393-747X,,http://www.scopus.com/inward/authorDetails.url?authorID=56501570700&partnerID=MN8TOARS,A5074865199,A. Pullia; Alberto Pullia; Pullia
22380,1100468,S. W. Lee,,,,A5076264440,S. W. Lee
22381,1100469,Z. Zhang,,,,A5085894184,Z. Zhang
22382,1100470,Z. Zhang,,,,A5006205747,Z. Zhang
22383,1100471,P. C. Kim,,,,A5008200524,P. C. Kim
22384,1100472,S. Li,,,,A5010796848,S. Li
22385,1100473,J. S.H. Lee,,,,A5013225852,J. S.H. Lee
22386,1100474,H. Zhang,,,,A5016974741,H. Zhang
22387,1100475,A. A. Carter,,,,A5017079011,A. A. Carter
22388,1100476,J. Silva,,,,A5018412171,J. Silva
22389,1100477,S. Liu,,,,A5021796125,S. Liu
22390,1100478,M. S. Kim,,,,A5025817810,M. S. Kim
22391,1100479,W. Park,,,,A5026741218,W. Park
22392,1100480,B. Li,,,,A5031143991,B. Li
22393,1100481,D. Liu,,,,A5031498228,D. Liu
22394,1100482,L. Lee,,,,A5033645006,L. Lee
22395,1100483,S. C. Lee,,,,A5035994487,S. C. Lee
22396,1100484,X. Zhang,,,,A5038323310,X. Zhang
22397,1100485,Y. Liu,,,,A5043000661,Y. Liu
22398,1100486,M. L. Gonzalez Silva,,,,A5043699759,M. L. Gonzalez Silva
22399,1100487,H. Kim,,,,A5043918863,H. Kim
22400,1100488,H. Chen,,,,A5045699292,H. Chen
22401,1100489,S. H. Kim,,,,A5045732134,S. H. Kim
22402,1100490,R. Wang,,,,A5050273511,R. Wang
22403,1100491,C. Chen,,,,A5051060599,C. Chen
22404,1100492,X. Chen,,,,A5052966746,X. Chen
22405,1100493,S. Chen,,,,A5053608637,S. Chen
22406,1100494,C. Liu,,,,A5054815871,C. Liu
22407,1100495,D. Zhang,,,,A5056193350,D. Zhang
22408,1100496,J. Wang,,,,A5056457033,J. Wang
22409,1100497,J. Zhang,,,,A5063731288,J. Zhang
22410,1100498,H. Li,,,,A5066747274,H. Li
22411,1100499,S. Ye,,,,A5070107403,S. Ye
22412,1100500,J. B. Liu,,,,A5071982202,J. B. Liu
22413,1100501,J. Ye,,,,A5078602961,J. Ye
22414,1100502,L. L.,,,,A5079266870,L. L.
22415,1100503,C. Wang,,,,A5082331814,C. Wang
22416,1100504,H. Wang,,,,A5084357995,H. Wang
22417,1100505,S. M. Wang,,,,A5087888847,S. M. Wang
22418,1100506,P. V.M. Da Silva,,,,A5089274210,P. V.M. Da Silva
22419,1100507,B. Li,,,,A5000876740,B. Li
22420,1100508,Z. Zhang,,,,A5003554612,Z. Zhang
22421,1100509,J. Silva,,,,A5004028367,J. Silva
22422,1100510,K. Wang,,,,A5004337313,K. Wang
22423,1100511,J. B. Liu,,,,A5009224480,J. B. Liu
22424,1100512,D. Zhang,,,,A5009519432,D. Zhang
22425,1100513,L. Lee,,,,A5009719291,L. Lee
22426,1100514,S. H. Kim,,,,A5012668912,S. H. Kim
22427,1100515,L. L.,,,,A5013973640,L. L.
22428,1100516,J. R. Carter,,,,A5016015863,J. R. Carter
22429,1100517,X. Chen,,,,A5016137812,X. Chen
22430,1100518,T. Wang,,,,A5024710262,T. Wang
22431,1100519,J. Ye,,,,A5027413130,J. Ye
22432,1100520,J. S. H. Lee,,,,A5029006183,J. S. H. Lee
22433,1100521,Y. Chen,,,,A5029350849,Y. Chen
22434,1100522,S. Li,,,,A5037353067,S. Li
22435,1100523,S. C. Lee,,,,A5038095978,S. C. Lee
22436,1100524,C. Chen,,,,A5040405746,C. Chen
22437,1100525,H. Kim,,,,A5040729449,H. Kim
22438,1100526,K. Liu,,,,A5042654248,K. Liu
22439,1100527,S. M. Wang,,,,A5043031816,S. M. Wang
22440,1100528,L. Zhang,,,,A5046699534,L. Zhang
22441,1100529,L. Liu,,,,A5050344528,L. Liu
22442,1100530,H. Li,,,,A5051557228,H. Li
22443,1100531,J. Zhang,,,,A5054476502,J. Zhang
22444,1100532,S. Ye,,,,A5056215731,S. Ye
22445,1100533,H. Lee,,,,A5057600799,H. Lee
22446,1100534,B. Li,,,,A5057819403,B. Li
22447,1100535,M. Liu,,,,A5057946809,M. Liu
22448,1100536,J. Wang,,,,A5058995142,J. Wang
22449,1100537,H. L. Li,,,,A5061291932,H. L. Li
22450,1100538,R. Wang,,,,A5062464190,R. Wang
22451,1100539,H. Wang,,,,A5063980553,H. Wang
22452,1100540,X. Wang,,,,A5068796403,X. Wang
22453,1100541,J. Wang,,,,A5070531007,J. Wang
22454,1100542,Y. Liu,,,,A5078798181,Y. Liu
22455,1100543,H. Zhang,,,,A5080258467,H. Zhang
22456,1100544,D. Liu,,,,A5081220625,D. Liu
22457,1100545,S. Chen,,,,A5081984888,S. Chen
22458,1100546,M. L. Gonzalez Silva,,,,A5082941945,M. L. Gonzalez Silva
22459,1100547,C. Wang,,,,A5084308344,C. Wang
22460,1100548,H. Wang,,,,A5086734863,H. Wang
22461,1100549,H. Chen,,,,A5088187372,H. Chen
22462,1100550,M. Liu,,,,A5088843385,M. Liu
22463,1100551,X. Li,,,,A5089590332,X. Li
22464,1100552,X. Zhang,,,,A5089917653,X. Zhang
22465,1100555,Y. Chen,,,,A5011810498,Y. Chen
22466,1100556,J. R. Carter,,,,A5013276053,J. R. Carter
22467,1100557,X. Zhang,,,,A5019661892,X. Zhang
22468,1100558,M. Liu,,,,A5020097892,M. Liu
22469,1100559,Z. Zhang,,,,A5046105673,Z. Zhang
22470,1100560,X. Li,,,,A5058356396,X. Li
22471,1100561,L. Liu,,,,A5064994377,L. Liu
22472,1100562,Y. Liu,,,,A5076203964,Y. Liu
22473,1100563,J. Silva,,,,A5082477173,J. Silva
22474,1100564,X. Chen,,,,A5001140593,X. Chen
22475,1100565,H. Chen,,,,A5004518140,H. Chen
22476,1100566,J. Ye,,,,A5007604427,J. Ye
22477,1100567,K. Chen,,,,A5009304805,K. Chen
22478,1100568,R. Wang,,,,A5009464054,R. Wang
22479,1100569,T. Wang,,,,A5012420455,T. Wang
22480,1100570,C. Wang,,,,A5012535543,C. Wang
22481,1100571,L. Lee,,,,A5015021357,L. Lee
22482,1100572,D. Liu,,,,A5015911578,D. Liu
22483,1100573,K. Liu,,,,A5024991588,K. Liu
22484,1100574,L. Chen,,,,A5025212341,L. Chen
22485,1100575,K. Wang,,,,A5025694149,K. Wang
22486,1100576,F. Wang,,,,A5026522847,F. Wang
22487,1100577,D. Zhang,,,,A5028174865,D. Zhang
22488,1100578,L. Liu,,,,A5028286798,L. Liu
22489,1100579,Y. Chen,,,,A5031240313,Y. Chen
22490,1100580,S. Ye,,,,A5035424054,S. Ye
22491,1100581,S. H. Kim,,,,A5036290422,S. H. Kim
22492,1100582,F. Zhang,,,,A5037142064,F. Zhang
22493,1100583,S. M. Wang,,,,A5040599250,S. M. Wang
22494,1100584,H. L. Li,,,,A5043671255,H. L. Li
22495,1100585,S. C. Lee,,,,A5047468109,S. C. Lee
22496,1100586,C. A. Lee,,,,A5048070994,C. A. Lee
22497,1100587,J. Silva,,,,A5049208438,J. Silva
22498,1100588,H. Wang,,,,A5052445424,H. Wang
22499,1100589,C. Chen,,,,A5052799245,C. Chen
22500,1100590,H. Y. Kim,,,,A5053044047,H. Y. Kim
22501,1100591,S. Chen,,,,A5053071876,S. Chen
22502,1100592,H. Kim,,,,A5057837143,H. Kim
22503,1100593,J. B. Liu,,,,A5060200711,J. B. Liu
22504,1100594,Z. Zhang,,,,A5060906557,Z. Zhang
22505,1100595,H. Lee,,,,A5063629375,H. Lee
22506,1100596,L. Zhang,,,,A5063682428,L. Zhang
22507,1100597,J. Wang,,,,A5065557002,J. Wang
22508,1100598,X. Zhang,,,,A5071830025,X. Zhang
22509,1100599,J. S.H. Lee,,,,A5074045586,J. S.H. Lee
22510,1100600,Y. Liu,,,,A5075966449,Y. Liu
22511,1100601,X. Wang,,,,A5078093221,X. Wang
22512,1100602,H. Zhang,,,,A5080271979,H. Zhang
22513,1100603,H. Li,,,,A5083085728,H. Li
22514,1100604,B. Li,,,,A5087215110,B. Li
22515,1100605,M. Liu,,,,A5090518170,M. Liu
22516,1100606,B. Li,,,,A5002996944,B. Li
22517,1100607,J. Silva,,,,A5016452455,J. Silva
22518,1100608,S. Li,,,,A5021351421,S. Li
22519,1100609,J. Zhang,,,,A5037373972,J. Zhang
22520,1100610,X. Zhang,,,,A5080639431,X. Zhang
22521,1100611,S. Chen,,,,A5090066116,S. Chen
22522,1100612,D. A. A. Roa Romero,,,,A5001184832,D. A. A. Roa Romero
22523,1100613,M. Liu,,,,A5003371516,M. Liu
22524,1100614,T. B. Moore,,,,A5004079725,T. B. Moore; T. Moore; T.B Moore; Tb B. Moore; Tb Moore
22525,1100615,Hwa Jeong Han,,,,A5004483617,H. Han; Hwa Jeong Han
22526,1100616,O. Blanch,,,,A5004574296,H. Bökenkamp; O. Blanch; Oscar Blanch
22527,1100617,M. Bieri,,,,A5004672316,M. Bieri; Marco Bieri
22528,1100618,D. Primor,,,,A5007484671,D. Primor; David Primor
22529,1100619,R. Bonino,0000-0002-4264-1215,,http://www.scopus.com/inward/authorDetails.url?authorID=56889302600&partnerID=MN8TOARS,A5008052402,R. Bonino; Raffaella Bonino
22530,1100620,C. F. Vollmer,,,,A5008269071,C. F. Vollmer; C. Vollmer; C.F Vollmer; Cornelius Fritz Vollmer; Cornelius Vollmer
22531,1100621,M. Maaen,,,,A5008349898,M. Maaen
22532,1100622,S. A. Robins,,,,A5008611057,S A. Robins; S. A. Robins; S. Robins; S.A Robins; SD Robins
22533,1100623,D. Clements,,,,A5012835156,D. Clements; Dan Clements
22534,1100624,Y. Ishizawa,,,,A5013917664,Y. Ishizawa; Yoshio Ishizawa
22535,1100625,P. Pospichal,,,,A5014439984,P. Pospichal
22536,1100626,M. Boosten,,,,A5014893586,M Marcel Boosten; M. Boosten
22537,1100627,F. Bujor,,,,A5014941304,F. Bujor; F.T. Bujor; Florentin Bujor
22538,1100628,K. Voss,0000-0002-4157-0996,,,A5017629805,K. C. Voss; K. Voss; K.C Voss; K.Ch. Voss; Kc Voss
22539,1100629,Tomáš Sluka,,,,A5018914340,T. Sluka; Tomas Sluka; Tomáš Sluka
22540,1100630,T. Shah,0009-0002-0088-6721,,,A5020334597,T P. Shah; T. P. Shah; T. Shah; T.P Shah; Tarak Shah; Tp Shah
22541,1100631,S. Levonian,,,,A5020667671,S. Levonian; S. V. Levonian; Serguei V. Levonian
22542,1100632,G. M. Mair,,,,A5021567370,G. M. Mair; G. Mair
22543,1100633,C. Couyoumtzelis,,,,A5021824384,C. Couyoumtzelis; Christian Couyoumtzelis
22544,1100634,S. Chatterjii,,,,A5024099090,S. C. Chatterjii; S. Chatterjii
22545,1100635,S. Bravo,0009-0004-9706-4242,,,A5025856516,S. Bravo; SARAY PRADOS BRAVO; Shendell Damaris Jiménez Bravo; Silvia Bravo; Silvia Joza Bravo; Silvia del Valle Bravo; Sílvia Bravo
22546,1100636,S. Chen,,,,A5027918245,S. Chen
22547,1100637,N. Becerici,,,,A5027970735,N. Becerici
22548,1100638,A. Belymam,,,,A5029762995,A. Belymam; Awatif Belymam
22549,1100639,H. Kambara,,,,A5030656422,H. Kambara; H. S. Kambara; Hisanori Kambara
22550,1100640,M. Peez,,,,A5031784086,M. Peez; Matti Peez
22551,1100641,A. Schricker,,,,A5032518223,A. Schricker; Alexander Schricker
22552,1100642,H. Korsmo,,,,A5033498639,H. Korsmo; Helen Korsmo
22553,1100643,P. Oberson,,,,A5037116407,P. Oberson; Pierre Oberson
22554,1100644,Enrique Peris Domingo,,,,A5038342553,E. Domingo; Elisabeth Domingo; Enrique Domingo; Enrique Peris Domingo
22555,1100645,L. Luisa,,,,A5039898279,L. Luisa; Luca Luisa
22556,1100646,G. Schlager,,,,A5041928888,G. Schlager; Gerolf Schlager
22557,1100647,F.J. Rosenbaum,,,,A5041966132,F. J. Rosenbaum; F. Rosenbaum; Fred J. Rosenbaum; Fred Rosenbaum
22558,1100648,S. Gonzálezde La Hoz,,,,A5042581694,S. Gonzálezde La Hoz
22559,1100649,H. Dür,,,,A5047091253,H. Dür; Harald Dür
22560,1100650,H. Li,,,,A5048942782,H. Li
22561,1100651,J. Oliver,,,,A5049046707,J Newell Oliver; J. N. Oliver; J. Oliver; John Oliver
22562,1100652,C. Risler,,,,A5051449490,C. Risler; Christiane Risler
22563,1100653,Alastair Small,,,,A5052823496,A. Small; A.M. Small; Alastair M. Small; Alastair Small
22564,1100654,G. Weber,,,,A5054461592,G. Weber; G. M. Weber; Gustav Weber
22565,1100655,G Belanger,,,,A5056373351,G. A. N. Belanger; G. Bélanger; G.Belanger; Guillaume A.N. Bélanger; Guillaume Belanger
22566,1100656,J. McDonald,,,,A5057044996,J. Mcdonald; J MCDONALD; J. W. Mcdonald; Joseph McDonald; Joseph W. McDonald
22567,1100657,A. Onea,,,,A5057147251,A. Onea
22568,1100658,V. Garde,,,,A5057958102,V. Garde; V. K. Garde
22569,1100659,M. Wiesmann,,,,A5063605147,M. Wiesmann; Michael Wiesmann
22570,1100660,L. Cardiel Sas,,,,A5064164607,L. Cardiel Sas
22571,1100661,P. F. Åkesson,,,,A5064337026,P. F. Akesson; P. F. Ákesson; P. F. Åkesson; P.F Åkesson
22572,1100662,E. Rezaie,,,,A5065148488,E. Rezaie; Erfan Rezaie
22573,1100663,M. Olivo Gomez,,,,A5066677113,M. Olivo Gomez; Maximiliano Gomez
22574,1100664,M. Heß,,,,A5069468571,M F. Hess; M. F. Hess; M. Hess; M. Heß; M.F Hess; Max Hess
22575,1100665,M. Rehak,,,,A5073080289,M. L. F. Rehak; M. L. Rehak; M. Rehak; Margareta L. Rehak; Margareta Rehak
22576,1100666,J. Silva,,,,A5073631925,J. Silva
22577,1100667,D. W. Davidson,,,,A5074430441,D. Davidson; D. W. Davidson; D.W Davidson; David W. Davidson; David. Davidson
22578,1100668,X. Zhang,,,,A5074860639,X. Zhang
22579,1100669,Hen T,,,,A5076384815,Hen T; T. Hen
22580,1100670,K. K. Joo,0000-0002-5515-0087,,,A5077066954,K. Joo; K. K. Joo; K.K Joo; Kyung Kwang Joo; Kyung‐Kwang Joo
22581,1100671,M. Morenol Lácer,,,,A5077717985,M. Morenol Lácer
22582,1100672,H. Lee,,,,A5077885409,H. Lee
22583,1100673,E. Cicalini,,,,A5080426044,E. Cicalini
22584,1100674,G. Ambrosini,,,,A5081209762,G. Ambrosini; G.C. Ambrosini; Gustavo Ambrosini
22585,1100675,K. Borer,,,,A5084301914,K. Borer; Kurt Borer
22586,1100676,C. Sánchez,,,,A5084780095,C. Sanchez; C. Sánchez; Carlos Sanchez; Carlos Sánchez; C. A. Sanchez; C. A. Sánchez; C. A. Sánchez Sánchez; Carlos A. Sanchez; Carlos Andrés Sánchez
22587,1100677,M. Niegl,,,,A5084846212,M. Niegl
22588,1100678,E. Abat,,,,A5086185112,E. Abat
22589,1100679,B. Vuaridel,,,,A5087083777,B. Vuaridel; Bertrand Vuaridel
22590,1100680,V. Martynenko,,,,A5088741298,V. Martynenko; V.V. Martynenko
22591,1100681,F. Lobkowicz,,,,A5090512309,F. L. Lobkowicz; F. Lobkowicz; Frederick Lobkowicz
22592,1100682,Magdalena Obermaier,0000-0002-3055-3744,,,A5091604658,M. Obermaier; Magdalena Katharina Obermaier; Magdalena Obermaier
22593,1100683,J. R. Carter,,,,A5005291681,J. R. Carter
22594,1100684,Y. Liu,,,,A5007074505,Y. Liu
22595,1100685,W. Wang,,,,A5020862820,W. Wang
22596,1100686,J. Wang,,,,A5022841301,J. Wang
22597,1100687,H. Zhang,,,,A5024993608,H. Zhang
22598,1100688,M. Liu,,,,A5040567394,M. Liu
22599,1100689,X. Chen,,,,A5046132464,X. Chen
22600,1100690,R. Wang,,,,A5052897448,R. Wang
22601,1100691,T. Wang,,,,A5070520778,T. Wang
22602,1100692,R. Zhang,,,,A5084513906,R. Zhang
22603,1100693,W. Park,,,,A5002136678,W. Park
22604,1100694,J. Wang,,,,A5005351962,J. Wang
22605,1100695,C. Wang,,,,A5009463116,C. Wang
22606,1100696,S. M. Wang,,,,A5013739690,S. M. Wang
22607,1100697,J. S. H. Lee,,,,A5014500157,J. S. H. Lee
22608,1100698,H. Kim,,,,A5016737086,H. Kim
22609,1100699,J. Ye,,,,A5020525287,J. Ye
22610,1100700,X. Chen,,,,A5021574504,X. Chen
22611,1100701,X. Zhang,,,,A5022839064,X. Zhang
22612,1100702,L. L.,,,,A5023405494,L. L.
22613,1100703,J. B. Liu,,,,A5027580409,J. B. Liu
22614,1100704,D. Zhang,,,,A5030361693,D. Zhang
22615,1100705,H. Chen,,,,A5031191971,H. Chen
22616,1100706,H. Liu,,,,A5036415521,H. Liu
22617,1100707,S. Chen,,,,A5041174571,S. Chen
22618,1100708,H. L. Li,,,,A5042110629,H. L. Li
22619,1100709,L. Lee,,,,A5042350550,L. Lee
22620,1100710,D. Liu,,,,A5054191483,D. Liu
22621,1100711,H. Zhang,,,,A5054292694,H. Zhang
22622,1100712,X. Li,,,,A5058625234,X. Li
22623,1100713,A. A. Carter,,,,A5059842156,A. A. Carter
22624,1100714,J. Zhang,,,,A5062870900,J. Zhang
22625,1100715,C. Liu,,,,A5064949934,C. Liu
22626,1100716,H. Li,,,,A5065888667,H. Li
22627,1100717,S. H. Kim,,,,A5066797090,S. H. Kim
22628,1100718,S. Li,,,,A5067859402,S. Li
22629,1100719,S. Ye,,,,A5070139155,S. Ye
22630,1100720,J. Wang,,,,A5072220367,J. Wang
22631,1100721,S. C. Lee,,,,A5073395128,S. C. Lee
22632,1100722,R. Wang,,,,A5074993151,R. Wang
22633,1100723,H. Wang,,,,A5078448948,H. Wang
22634,1100724,Y. Chen,,,,A5079687924,Y. Chen
22635,1100725,M. L. Gonzalez Silva,,,,A5081806917,M. L. Gonzalez Silva
22636,1100726,H. Wang,,,,A5085222582,H. Wang
22637,1100727,Z. Zhang,,,,A5087035909,Z. Zhang
22638,1100728,J. Silva,,,,A5087166383,J. Silva
22639,1100729,C. Chen,,,,A5089208622,C. Chen
22640,1100730,C. Wang,,,,A5000433254,C. Wang
22641,1100731,Y. L. Liu,,,,A5003323485,Y. L. Liu
22642,1100732,S. Li,,,,A5005169955,S. Li
22643,1100733,S. Chen,,,,A5006391482,S. Chen
22644,1100734,Y. K. Kim,,,,A5011891809,Y. K. Kim
22645,1100735,H. Liu,,,,A5013753895,H. Liu
22646,1100736,Y. Chen,,,,A5015879628,Y. Chen
22647,1100737,Q. Wang,,,,A5016789197,Q. Wang
22648,1100738,G. Zhang,,,,A5017053655,G. Zhang
22649,1100739,L. Zhang,,,,A5019147108,L. Zhang
22650,1100740,Y. Zhang,,,,A5019250826,Y. Zhang
22651,1100741,M. Liu,,,,A5020172984,M. Liu
22652,1100742,S. Ye,,,,A5020448104,S. Ye
22653,1100743,C. Wang,,,,A5023288929,C. Wang
22654,1100744,L. L.,,,,A5025262633,L. L.
22655,1100745,H. Chen,,,,A5026493329,H. Chen
22656,1100746,G. R. Lee,,,,A5028210101,G. R. Lee
22657,1100747,M. Zhang,,,,A5029230265,M. Zhang
22658,1100748,Q. Li,,,,A5029368410,Q. Li
22659,1100749,J. K. K. Liu,,,,A5031332025,J. K. K. Liu
22660,1100750,L. Zhang,,,,A5034518104,L. Zhang
22661,1100751,L. Lee,,,,A5036772659,L. Lee
22662,1100752,S. Chen,,,,A5037278191,S. Chen
22663,1100753,S. H. Kim,,,,A5039352818,S. H. Kim
22664,1100754,P. Zhang,,,,A5042553249,P. Zhang
22665,1100755,F. Wang,,,,A5043056733,F. Wang
22666,1100756,L. Li,,,,A5043070542,L. Li
22667,1100757,D. Zhang,,,,A5044080237,D. Zhang
22668,1100758,H. Li,,,,A5044418858,H. Li
22669,1100759,S. M. Wang,,,,A5044458550,S. M. Wang
22670,1100760,J. Liu,,,,A5045756890,J. Liu
22671,1100761,J. Ye,,,,A5048712637,J. Ye
22672,1100762,Z. Wang,,,,A5051035755,Z. Wang
22673,1100763,J. Wang,,,,A5053437054,J. Wang
22674,1100764,S. C. Lee,,,,A5056074980,S. C. Lee
22675,1100765,H. Wang,,,,A5057247936,H. Wang
22676,1100766,H. Wang,,,,A5061273944,H. Wang
22677,1100767,X. Li,,,,A5061943477,X. Li
22678,1100768,H. Y. Kim,,,,A5062776157,H. Y. Kim
22679,1100769,C.-Q. Li,,,,A5063829936,C.‐Q. Li
22680,1100770,J. Zhang,,,,A5067423146,J. Zhang
22681,1100771,Huayang Song,,,,A5067526532,H. Song; H. Y. Song; Huayang Song
22682,1100772,H. Zhang,,,,A5068874688,H. Zhang
22683,1100773,C. Chen,,,,A5070826889,C. Chen
22684,1100774,X. Zhang,,,,A5072945718,X. Zhang
22685,1100775,F. Zhang,,,,A5073870872,F. Zhang
22686,1100776,T. Wang,,,,A5074543161,T. Wang
22687,1100777,C. A. Lee,,,,A5075383719,C. A. Lee
22688,1100778,B. Li,,,,A5075642306,B. Li
22689,1100779,Zishuo Yang,0000-0002-2347-2225,,,A5076103553,Z. Q. Yang; Z. Yang; Zhen Yang; Zishuo Yang
22690,1100780,X. Chen,,,,A5076272839,X. Chen
22691,1100781,J. Silva,,,,A5078244430,J. Silva
22692,1100782,Y. Liu,,,,A5079552803,Y. Liu
22693,1100783,J. Wang,,,,A5079880895,J. Wang
22694,1100784,H. Liu,,,,A5084543690,H. Liu
22695,1100785,W. Wang,,,,A5087140259,W. Wang
22696,1100786,L. Liu,,,,A5087400315,L. Liu
22697,1100787,B. Liu,,,,A5088574478,B. Liu
22698,1100788,J. B. Liu,,,,A5088935758,J. B. Liu
22699,1100789,Y. Li,,,,A5089591636,Y. Li
22700,1100790,Z. Zhang,,,,A5091386610,Z. Zhang
22701,1100791,L. Li,,,,A5000589970,L. Li
22702,1100792,J. Wang,,,,A5000811934,J. Wang
22703,1100793,R. Wang,,,,A5014206381,R. Wang
22704,1100794,X. Zhang,,,,A5015085656,X. Zhang
22705,1100795,Jiayu Liu,0000-0001-8639-3308,,,A5030410270,J. Liu; Jiayu Liu
22706,1100796,J. Silva,,,,A5032112526,J. Silva
22707,1100797,T. Wang,,,,A5040807776,T. Wang
22708,1100798,L. L.,,,,A5048642961,L. L.
22709,1100799,X. Chen,,,,A5050965065,X. Chen
22710,1100800,S. Chen,,,,A5057951366,S. Chen
22711,1100801,J. R. Carter,,,,A5060182618,J. R. Carter
22712,1100802,L. Liu,,,,A5080959603,L. Liu
22713,1100803,H. Chen,,,,A5085882679,H. Chen
22714,1100804,H. Zhang,,,,A5086950339,H. Zhang
22715,1100805,Y. Liu,,,,A5088663910,Y. Liu
22716,1100806,Y. Li,,,,A5091276798,Y. Li
22717,1100807,J. Zhang,,,,A5000433143,J. Zhang
22718,1100808,H. Liu,,,,A5005032076,H. Liu
22719,1100809,S. Ye,,,,A5005191577,S. Ye
22720,1100810,X. Chen,,,,A5006149048,X. Chen
22721,1100811,H. Liu,,,,A5006818098,H. Liu
22722,1100812,C. Wang,,,,A5006918806,C. Wang
22723,1100813,H. Chen,,,,A5008421192,H. Chen
22724,1100814,R. Wang,,,,A5011950255,R. Wang
22725,1100815,J. Liu,,,,A5013001397,J. Liu
22726,1100816,C. A. Lee,,,,A5013408176,C. A. Lee
22727,1100817,J. Ye,,,,A5013425109,J. Ye
22728,1100818,H. Li,,,,A5014723655,H. Li
22729,1100819,B. Liu,,,,A5015620778,B. Liu
22730,1100820,Y. Li,,,,A5020480757,Y. Li
22731,1100821,R. Zhang,,,,A5022382733,R. Zhang
22732,1100822,M. Liu,,,,A5024159647,M. Liu
22733,1100823,K. Wang,,,,A5025833764,K. Wang
22734,1100824,Q. Li,,,,A5027212446,Q. Li
22735,1100825,H. Zhang,,,,A5027655102,H. Zhang
22736,1100826,C. Chen,,,,A5029190377,C. Chen
22737,1100827,S. Li,,,,A5030091048,S. Li
22738,1100828,Y. Chen,,,,A5030140959,Y. Chen
22739,1100829,F. Zhang,,,,A5031242033,F. Zhang
22740,1100830,L. Lee,,,,A5032825596,L. Lee
22741,1100831,B. Li,,,,A5035390693,B. Li
22742,1100832,L. Zhang,,,,A5035474481,L. Zhang
22743,1100833,J. Wang,,,,A5036150427,J. Wang
22744,1100834,W. Wang,,,,A5038911376,W. Wang
22745,1100835,H. Wang,,,,A5039601611,H. Wang
22746,1100836,X. Zhang,,,,A5040921232,X. Zhang
22747,1100837,D. Liu,,,,A5041792735,D. Liu
22748,1100838,T. Wang,,,,A5042180851,T. Wang
22749,1100839,M. Zhang,,,,A5043884717,M. Zhang
