a,person_id,fio,orcid,researcherId,scopusId,openAlexId,alt_fios
7103,1083247,S. Subramania,,,,A5057766139,S. Subramania; Srinivasan Subramania
7104,1083248,D. Reljić,,,,A5057821303,D. Reljic; D. Reljić; Dusan Reljic
7105,1083249,J. P. Archambault,,,,A5058253209,J. P. Archambault
7106,1083250,C.J. Curtis,,,,A5059924537,C. Curtis; C. J. Curtis; Christopher Curtis; Christopher J Curtis
7107,1083251,Parvinder S. Sandhu,,,,A5060119411,P. Sandhu; P. Singh Sandhu; P.S. Sandhu; Parkirat Sandhu; Parvinder S. Sandhu; Parvinder Sandhu; Parvinder Singh Sandhu
7108,1083252,Hiroshi Nishimura,0000-0003-0713-221X,,,A5060578424,H. Nagura; H. Naito; H. Namikawa; H. Nishimura; H. Nojima; H. Nomoto; Hiroshi Naito; Hiroshi Namikawa; Hiroshi Nishigami; Hiroshi Nojima; Hiroshi Nomoto; Hiroshi. Nagura; Hiroshi. Nishimura; N. Hiroshi; Nagura Hiroshi; Naito Hiroshi; Namikawa Hiroshi; Nishigami Hiroshi; Nishimura Hiroshi; Nojima Hiroshi; Nomoto Hiroshi
7109,1083253,T. P. Kokott,,,,A5060755978,T. Kokott; T. P. Kokott; T.P Kokott; Th. Kokott
7110,1083254,A. Lazzaro,,,,A5061023982,A. Lazzaro; A.P. Lazzaro; Alfio Lazzaro
7111,1083255,T. Yamazaki,,,,A5061470866,T. Yamazaki; Takayuki Yamazaki; Yamazaki Takayuki
7112,1083256,S.R. Armstrong,,,,A5061943298,S R. Armstrong; S. Armstrong; S. R. Armstrong; S.R Armstrong; Stephen Armstrong; Stephen R. Armstrong; Stephen Randolph Armstrong
7113,1083257,J. Treis,,,,A5062012915,J. Treis; J.. Treis; Johannes Treis
7114,1083258,F. Baltasar Dos Santos Pedrosa,,,,A5062415830,F. B.Dos Santos Pedrosa; F. Baltasar Dos Santos Pedrosa; Fernando Baltasar Dos Santos Pedrosa
7115,1083259,S. Rieke,,,,A5062589520,S. Rieke; Stefan Rieke
7116,1083260,C. N. P. Gee,,,,A5062726937,C. N. P. Gee; C N.P. Gee; C. Gée; C. N P Gee; CM Gee
7117,1083261,P. Conde Muíño,,,,A5062994535,P. C. Muino; P. C. Muiño; P. Conde Muino; P. Conde Muinõ; P. Conde Muiño; P. Conde Muíño; P. Muiño; PC Muino
7118,1083262,E. Griesmayer,,,,A5063023507,E. Griesmayer; Erich Griesmayer
7119,1083263,Dan Levin,,,,A5063032827,D. Levin; D.S. Levin; Dan Levin
7120,1083264,H. Kim,,,,A5063224492,H. Kim
7121,1083265,T. Byatt,,,,A5063840460,T. Byatt; Thomas Joseph Byatt
7122,1083266,H. Zhang,,,,A5064354977,H. Zhang
7123,1083267,A. E. Barton,,,,A5064386425,A. Barton; A. E. Barton; Aleisha Barton
7124,1083268,A. Da Rocha Gesualdi Mello,,,,A5064453977,A. Da Rocha Gesualdi Mello
7125,1083269,S. B. Silverstein,,,,A5064585858,S. B. Silverstein; S. Silverstein
7126,1083270,D. Greenfield,,,,A5064792178,D. Greenfield; Debbie Greenfield
7127,1083271,C. Ketterer,,,,A5064986753,C. Ketterer; Ch. Ketterer
7128,1083272,B. J. Gallop,,,,A5065383227,B. Gallop; B. J. Gallop
7129,1083273,C. Carpentieri,,,,A5065626929,C. Carpentieri; Carmela Carpentieri; Claudia Carpentieri
7130,1083274,M. Schmidt,0000-0003-4276-5151,,,A5065663336,M. Schmidt; M. P. Schmidt; Martin P. Schmidt; Martin Peter Schmidt; Martin Schmidt
7131,1083275,H. Matsumoto,0000-0002-0772-3047,,,A5066257495,H. Matsumoto; Haruka Matsumoto; Matsumoto Haruka
7132,1083276,F. K. Loebinger,,,,A5066285930,F. Loebinger; F.K Loebinger; F. K. Loebinger; Fk Loebinger
7133,1083277,T. Voß,,,,A5066509998,T. T. Voss; T. Voss; T. Voß; Thomas Voss; Thomas Voß
7134,1083278,S. Rodier,,,,A5066597930,S. D. Rodier; S. Rodier; Sthéphane David Rodier
7135,1083279,J. Moss,,,,A5066969328,J. Moss; J. M. Moss; Joshua Moss
7136,1083280,H. Dietl,,,,A5067397432,H W Dietl; H. Dietl; Hans Dietl
7137,1083281,Z. Yang,0000-0002-6078-4519,,,A5067711245,Z. Yang; Z. C. Yang; Zhong Yang
7138,1083282,R. Dankers,,,,A5067745543,R. Dankers; R.J. Dankers; Reinier Dankers; Reinier Josephus Dankers
7139,1083283,R. Böck,,,,A5067800664,R. Bock; R. Böck; R. K. Bock; R. K. Böck; Rudolf Bock; Rudolf K. Bock
7140,1083284,F. Georgatos,0000-0002-5170-5188,,,A5067958840,F. Georgatos; Fotis Georgatos
7141,1083285,D. Y. Bardin,,,,A5068018803,D. Bardin; D. Y. Bardin; D. Yu. Bardin; Dmitry Bardin; Dmitry Yu. Bardin
7142,1083286,A. Schreiner,,,,A5068196402,A. Schreiner; Alexander Schreiner
7143,1083287,L. Chen,,,,A5068309478,L. Chen
7144,1083288,Y. Zolnierowski,,,,A5068783083,Y. P. Zolnierowski; Y. Zolnierowski; Yves Zolnierowski
7145,1083289,Scott Robertson,,,,A5069278051,S. H. Robertson; S. Robertson; S.H Robertson; Scott H. Robertson; Scott Harrison Robertson; Scott Robertson
7146,1083290,A. Siebel,,,,A5069388222,A. Siebel; Anca‐Mirela Siebel
7147,1083291,G. Bellomo,0000-0003-0456-5650,,http://www.scopus.com/inward/authorDetails.url?authorID=57191908662&partnerID=MN8TOARS,A5069670195,G. Bellomo; G.M. Bellomo; Giovanni Bellomo
7148,1083292,J. R. Bensinger,0000-0002-6117-4536,,,A5070093678,J. Bensinger; J. R. Bensinger; J.R Bensinger; James Bensinger; James R. Bensinger
7149,1083293,S. N. Golovnia,,,,A5070252328,S. Golovnia; S. N. Golovnia; Serguei Golovnia
7150,1083294,Muhammad Aftab Alam,0000-0002-1657-5795,,http://www.scopus.com/authid/detail.url?authorId=56399874700,A5070728923,M. Alam; M. A. Alam; Muhammad A Alam; Muhammad Aftab Alam; Muhammad Alam
