a,person_id,fio,orcid,researcherId,scopusId,openAlexId,alt_fios,cluster_id
10251,1087347,A. B. Kowalewska,,,,A5050742195,A. B. Kowalewska,1021
11216,1088446,A. Bitadze,,,,A5033702695,A. Bitadze; Alexander Bitadze,1022
50371,1042561,A. Bitadze,0000-0001-7979-1092,,,A5053558690,A. Bitadze; Alexander Bitadze; Alexandre Bitadze,1022
14803,1092296,A. Bertina,,,,A5062671719,A. Bertina,1023
51081,1045525,A. Bertin,,,,A5007515929,A. Bertin; A.P. Bertin; Antonio Bertin,1023
31156,1109395,A. Borga,,,,A5013863231,A. Borga; A. O. Borga; Andrea Borga,1024
44651,1029386,A. Borgia,,,,A5010355867,A. Borgia; Alessandra Borgia,1024
32534,1110818,A. Buzatu,,,,A5088370493,A. Buzatu,1025
41619,1025658,A. Buzatu,0000-0001-5519-9879,,,A5073954650,Adrian Buzatu; Buzatu Adrian; A. Buzatu; Andrei Buzatu; Buzatu Andrei,1025
35374,1000497,A. Belyaev,0000-0002-1733-4408,,,A5034869512,A. Belyaev; Andrey Belyaev; A. V. Belyaev; Alexander Belyaev; A. S. Belyaev; A. D. Belyaev; Alexander S. Belyaev; Andrey S. Belyaev; Artem A. BELYAEV,1026
40675,1024563,A. Belyaev,,,,A5044529443,A. Belyaev; Andrey Belyaev; A. V. Belyaev; A. V Belyaev; Andrey V. Belyaev,1026
41808,1025847,A. Belyaev,0000-0003-1692-1173,,,A5041375776,A. Belyaev; A. V. Belyaev; Alexander Belyaev; Wouf,1026
35736,1005758,A. Bornheim,0000-0002-0128-0871,,,A5024028473,A. Bornheim; Adolf Bornheim,1027
43353,1027395,A. Bornheim,,,,A5040377041,A. Bornheim; Adi Bornheim,1027
37280,1016172,A. Bondar,,,,A5078341568,A. É. Bondar; Alexander E. Bondar; А. Бондарь,1028
44669,1029404,A. Bondar,0000-0002-5089-5338,,,A5014301111,Александр Евгеньевич Бондарь,1028
49385,1040757,A. Bondar,0000-0002-5089-5338,,,A5035222428,A E.Bondar; A. Bondar; A. E. Bondar; A.E Bondar; Alex Bondar,1028
49533,1040908,A. Bondar,,,,A5005375480,A. Bondar; A. E. Bondar; Aleksander E. Bondar,1028
37827,1021714,A. Bhatti,,,,A5011182638,A. Bhatti; Anwar Bhatti; A. A. Bhatti; Anwar A. Bhatti; Anwar Ahmad Bhatti,1029
39923,1023811,A. Bhatti,,,,A5003944425,A. Bhatti; A. S. Bhatti; Ananya Bhatti; Anwar Bhatti,1029
39076,1022963,A. Baden,,,,A5059964855,A. Baden; A. R. Baden; Andrew Baden; Andrew R. Baden; Andrew Robert Baden,1030
45152,1029887,A. Baden,0000-0002-6159-3861,,,A5041704525,A. Baden; A. R. Baden; Ar Baden,1030
39160,1023047,A. Beretvas,0000-0001-6627-0191,,,A5063418985,A. Beretvas; Andrew Beretvas; Andrew F. Beretvas,1031
45290,1030025,A Beretvas,,,,A5052228120,A. Beretvas; Andy Beretvas,1031
39256,1023143,A. Bocci,0000-0002-6515-5666,,,A5066647580,A. Bocci; Andrea Bocci,1032
40699,1024587,A. Bocci,0000-0001-6700-6077,,,A5058568201,A. Bocci; A. J. Bocci; Andrea Bocci,1032
39312,1023199,A. Bhardwaj,0000-0002-7544-3258,,http://www.scopus.com/inward/authorDetails.url?authorID=7101752803&partnerID=MN8TOARS,A5068700693,A. Bhardwaj; A. K. Bhardwaj; Ashutosh Bhardwaj; Bhardwaj Ashutosh,1033
42600,1026639,A. Bhardwaj,0000-0001-6446-4267,,,A5068005545,A. Bhardwaj; Anagha Bhardwaj; Atul Bhardwaj; Atul M Bhardwaj,1033
