person1,person2,common_pubs
1024225,1021756,11
1024225,1023871,25
1024225,1023543,26
1024225,1022747,26
1024225,1022578,26
1024225,1028616,24
1024225,1024286,5
1024225,1022002,26
1024225,1023335,26
1024225,1022075,24
1024225,1023542,11
1024225,1024441,12
1024225,1021640,26
1024225,1021223,26
1024225,1022580,26
1024225,1023362,1
1024225,1022201,26
1024225,1023473,15
1024225,1022501,26
1024225,1023469,26
1024225,1024398,9
1024225,1021814,26
1024225,1023325,15
1024225,1024331,26
1024225,1023698,26
1024225,1023068,24
1024225,1022878,18
1024225,1022295,26
1024225,1023729,26
1024225,1023148,26
1024225,1022664,26
1024225,1023700,2
1024225,1023564,23
1024225,1022900,26
1024225,1022604,9
1024225,1022262,21
1024225,1021827,24
1024225,1021774,26
1024225,1022030,26
1024225,1023107,24
1024225,1023733,2
1024225,1022594,2
1024225,1023204,14
1024225,1023616,26
1024225,1023459,19
1024225,1022726,26
1024225,1022521,26
1024225,1024449,17
1024225,1022672,26
1024225,1023237,26
1024225,1023506,2
1024225,1023406,14
1024225,1021565,21
1024225,1029967,3
1024225,1023674,4
1024225,1024130,26
1024225,1021495,24
1024225,1022537,26
1024225,1023215,26
1024225,1026939,1
1024225,1024343,26
1024225,1034805,12
1024225,1023538,21
1024225,1021850,26
1024225,1021888,22
1024225,1024371,26
1024225,1021777,26
1024225,1025276,1
1024225,1021800,26
1024225,1022198,5
1024225,1021832,14
1024225,1023370,26
1024225,1022793,1
1024225,1021535,26
1024225,1024063,24
1024225,1021591,26
1024225,1021778,15
1024225,1021953,26
1024225,1023417,26
1024225,1022361,16
1024225,1025309,5
1024225,1022927,16
1024225,1023408,26
1024225,1023307,1
1024225,1023116,26
1024225,1024339,5
1024225,1022407,16
1024225,1022390,4
1024225,1024094,26
1024225,1021922,15
1024225,1022380,26
1024225,1029068,2
1024225,1021545,26
1024225,1027081,16
1024225,1023810,26
1024225,1021580,24
1024225,1023254,26
1024225,1022967,17
1024225,1024121,9
1024225,1022577,26
1024225,1024208,26
1024225,1022362,16
1024225,1022205,16
1024225,1022867,1
1024225,1021524,9
1024225,1022005,1
1024225,1022759,26
1024225,1022041,17
1024225,1024113,26
1024225,1023032,22
1024225,1021977,24
1024225,1023203,26
1024225,1022833,26
1024225,1023919,21
1024225,1023524,26
1024225,1021543,26
1024225,1023269,26
1024225,1022120,21
1024225,1022730,6
1024225,1023878,9
1024225,1034730,24
1024225,1022789,3
1024225,1023618,26
1024225,1022250,10
1024225,1024223,19
1024225,1022463,24
1024225,1023441,26
1024225,1021622,23
1024225,1022014,5
1024225,1022273,26
1024225,1021647,24
1024225,1023066,21
1024225,1022307,26
1024225,1035295,1
1024225,1024102,26
1024225,1023521,26
1024225,1022922,18
1024225,1022690,26
1024225,1022960,23
1024225,1024188,6
1024225,1023069,23
1024225,1022495,26
1024225,1024340,25
1024225,1023631,26
1024225,1023457,24
1024225,1022101,1
1024225,1021957,26
1024225,1023398,22
1024225,1022177,26
1024225,1030141,2
1024225,1022692,11
1024225,1021713,2
1024225,1022019,15
1024225,1023422,26
1024225,1021459,26
1024225,1022885,1
1024225,1022220,26
1024225,1034767,16
1024225,1021660,26
1024225,1021691,26
1024225,1023957,26
1024225,1024424,1
1024225,1022996,22
1024225,1022946,26
1024225,1023310,21
1024225,1022140,2
1024225,1021719,1
1024225,1023112,1
1024225,1023625,26
1024225,1035070,5
1024225,1024482,1
1024225,1021808,1
1024225,1024104,25
1024225,1022326,14
1024225,1022218,20
1024225,1025444,25
1024225,1023332,19
1024225,1023419,26
1024225,1023748,21
1024225,1021639,26
1024225,1023139,3
1024225,1022531,20
1024225,1029182,1
1024225,1023119,26
1024225,1024367,24
1024225,1023162,26
1024225,1024145,4
